RptDt;TckrSymb;SctyId;SctySrc;MktIdrCd;ISIN;FrstPric;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;TradQty;MktDataStrmId;NtlFinVol;IntlFinVol;FinInstrmQty;BestBidPric;BestAskPric;RglrTxsQty;NtlRglrVol;IntlRglrVol;MaxTradLmt;MinTradLmt;OpnIntrst;NonRglrTxsQty;RglrTraddCtrcts;NonRglrTraddCtrcts;NtlNonRglrVol;IntlNonRglrVol
2018-06-25;CIELS236;200000172399;8;BVMF;BRCIEL3S09T6;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS24;200000172256;8;BVMF;BRCIEL3S09I9;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS255;200000153905;8;BVMF;BRCIEL3S09B4;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS46;200000172144;8;BVMF;BRCIEL3S09M1;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS47;200000172178;8;BVMF;BRCIEL3S09O7;;;;;;;;;;;;0.1;;;;;;;;;;;;
2018-06-25;CIELS48;200000172169;8;BVMF;BRCIEL3S09Q2;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS49;200000172227;8;BVMF;BRCIEL3S09S8;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS50;200000172370;8;BVMF;BRCIEL3S09D0;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS51;200000172378;8;BVMF;BRCIEL3S09F5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS53;200000119940;8;BVMF;BRCIEL3S0991;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS54;200000172403;8;BVMF;BRCIEL3S09J7;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS55;200000172396;8;BVMF;BRCIEL3S09K5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELS75;200000119938;8;BVMF;BRCIEL3S09A6;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELT13;200000183655;8;BVMF;BRCIEL3T09Y4;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELT14;200000183580;8;BVMF;BRCIEL3T0A02;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELT15;200000183627;8;BVMF;BRCIEL3T0A28;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELT16;200000183531;8;BVMF;BRCIEL3T0A44;1.37;1.37;1.37;1.37;1.37;-4.86;1;Electronic (default);274;72.73;200;;;1;274;72.73;;;;;200;;;
2018-06-25;CIELT17;200000183557;8;BVMF;BRCIEL3T0A77;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELT173;200000190354;8;BVMF;BRCIEL3T0AF5;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELT178;200000190266;8;BVMF;BRCIEL3T0AG3;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELT18;200000183862;8;BVMF;BRCIEL3T0A93;;;;;;;;;;;;;;;;;;;;;;;;
2018-06-25;CIELT183;200000190856;8;BVMF;BRCIEL3T0AH1;;;;;;;;;;;;;;;;;;;;;;;;
